Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-02-28 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-01 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-04 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-05 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-06 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-07 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-08 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-11 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-12 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-13 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-14 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-15 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-18 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-19 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-20 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-21 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-22 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-25 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-26 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-27 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-03-28 00:00:00-03:00,7.210749626159668,7.210749626159668,7.210749626159668,7.210749626159668,0,0.0,0.0
2013-04-01 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.089623,0.0
2013-04-02 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-03 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-04 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-05 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-08 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-09 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-10 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-11 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-12 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-15 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-16 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-17 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-18 00:00:00-03:00,7.279180526733398,7.279180526733398,7.279180526733398,7.279180526733398,0,0.0,0.0
2013-04-19 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,7.4e-05,0.0
2013-04-22 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-04-23 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-04-24 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-04-25 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-04-26 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-04-29 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-04-30 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-02 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-03 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-06 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-07 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-08 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-09 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-10 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-13 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-14 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-15 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-16 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-17 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-20 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-21 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-22 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-23 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-24 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-27 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-28 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-29 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-05-31 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-03 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-04 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-05 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-06 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-07 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-10 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-11 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-12 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-13 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-14 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-17 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-18 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-19 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-20 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-21 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-24 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-25 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-26 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-27 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-06-28 00:00:00-03:00,7.279236793518066,7.279236793518066,7.279236793518066,7.279236793518066,0,0.0,0.0
2013-07-01 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.084184,0.0
2013-07-02 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-03 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-04 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-05 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-08 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-10 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-11 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-12 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-15 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-16 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-17 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-18 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-19 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-22 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-23 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-24 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-25 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-26 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-29 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-30 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-07-31 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-01 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-02 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-05 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-06 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-07 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-08 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-09 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-12 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-13 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-14 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-15 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-16 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-19 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-20 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-21 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-22 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-23 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-26 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-27 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-28 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-29 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-08-30 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-02 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-03 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-04 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-05 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-06 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-09 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-10 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-11 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-12 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-13 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-16 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-17 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-18 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-19 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-20 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-23 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-24 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-25 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-26 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-27 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-09-30 00:00:00-03:00,7.344088554382324,7.344088554382324,7.344088554382324,7.344088554382324,0,0.0,0.0
2013-10-01 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.085145,0.0
2013-10-02 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-03 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-04 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-07 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-08 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-09 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-10 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-11 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-14 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-15 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-16 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-17 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-18 00:00:00-03:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-21 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-22 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-23 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-24 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-25 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-28 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-29 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-30 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-10-31 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-01 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-04 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-05 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-06 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-07 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-08 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-11 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-12 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-13 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-14 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-18 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-19 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-21 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-22 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-25 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-26 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-27 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-28 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-11-29 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-02 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-03 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-04 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-05 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-06 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-09 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-10 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-11 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-12 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-13 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-16 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-17 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-18 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-19 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-20 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-23 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-26 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-27 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2013-12-30 00:00:00-02:00,7.410272598266602,7.410272598266602,7.410272598266602,7.410272598266602,0,0.0,0.0
2014-01-02 00:00:00-02:00,7.475656509399414,7.475656509399414,7.475656509399414,7.475656509399414,0,0.083378,0.0
2014-01-03 00:00:00-02:00,7.475656509399414,7.475656509399414,7.475656509399414,7.475656509399414,0,0.0,0.0
2014-01-06 00:00:00-02:00,7.475656509399414,7.475656509399414,7.475656509399414,7.475656509399414,0,0.0,0.0
2014-01-07 00:00:00-02:00,7.4756622314453125,7.4756622314453125,7.4756622314453125,7.4756622314453125,0,0.0,1.115213
2014-01-08 00:00:00-02:00,7.4756622314453125,7.4756622314453125,7.4756622314453125,7.4756622314453125,0,0.0,0.0
2014-01-09 00:00:00-02:00,7.4756622314453125,7.4756622314453125,7.4756622314453125,7.4756622314453125,0,0.0,0.0
2014-01-10 00:00:00-02:00,7.4756622314453125,7.4756622314453125,7.4756622314453125,7.4756622314453125,0,0.0,0.0
2014-01-13 00:00:00-02:00,7.4756622314453125,7.4756622314453125,7.4756622314453125,7.4756622314453125,0,0.0,0.0
2014-01-14 00:00:00-02:00,7.4756622314453125,7.4756622314453125,7.4756622314453125,7.4756622314453125,0,0.0,0.0
