Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-02-18 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-02-19 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-02-20 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-02-25 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-02-26 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-02-27 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-02 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-03 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-04 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-05 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-06 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-09 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-10 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-11 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-12 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-13 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-16 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-17 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-18 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-19 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-20 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-23 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-24 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-25 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-26 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-27 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-30 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-03-31 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-01 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-02 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-03 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-06 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-07 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-08 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-09 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-13 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-14 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-15 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-16 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-17 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-20 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-22 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-23 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-24 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-27 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-28 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-29 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-04-30 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-04 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-05 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-06 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-07 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-08 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-11 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-12 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-13 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-14 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-15 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-18 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-19 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-20 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-21 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-22 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-25 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-26 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-27 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-28 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-05-29 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-01 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-02 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-03 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-04 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-05 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-08 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-09 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-10 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-12 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-15 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-16 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-17 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-18 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-19 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-22 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-23 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-24 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-25 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-26 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-29 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-06-30 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-01 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-02 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-03 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-06 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-07 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-08 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-09 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-10 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-13 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-14 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-15 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-16 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-17 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-20 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-21 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-22 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-23 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-24 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-27 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-28 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-29 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-30 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-07-31 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-03 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-04 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-05 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-06 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-07 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-10 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-11 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-12 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-13 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-14 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-17 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-18 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-19 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-20 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-21 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-24 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-25 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-26 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-27 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-28 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-08-31 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-01 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-02 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-03 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-04 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-08 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-09 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-10 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-11 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-14 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-15 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-16 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-17 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-18 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-21 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-22 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-23 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-24 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-25 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-28 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-29 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-09-30 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-01 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-02 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-05 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-06 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-07 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-08 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-09 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-13 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-14 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-15 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-16 00:00:00-03:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-19 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-20 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-21 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-22 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-23 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-26 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-27 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-28 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-29 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-10-30 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-11-03 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-11-04 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-11-05 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
2009-11-06 00:00:00-02:00,88.52066802978516,88.52066802978516,88.52066802978516,88.52066802978516,0,0.0,0.0
